Province/Country,2016,2017,2018
AB,15.3,16.3,16.1
BC,19.8,17.1,17.7
MB,21.8,16.3,16.1
NB,27.3,26.1,24.5
NS,16.5,16.3,16.1
ON,16.5,16.3,16.1
PEI,16.5,16.3,22.1
SK,23,22.1,22
QC-12 year secondary,16.5,16.3,16.1
QC-CEGEP,5.2,5.2,5.7
CDN University,10.1,9.2,8.7
Foreign Post Secondary,11.7,11,9.7
IB diploma in Canada,15.3,12.2,12.3
CC/CAT (Canadian college),,10.8,9.8
BGD,23.7,23.5,
CHN,15.3,16,16
EGY,,28.2,29
IND,17.2,,
IDN,12.7,12.5,13.3
MYS,12.4,,
SAU,,23.9,24.1
SGP,13.1,11.7,13.1
UAE (ARE),,21,20.9
USA,22.8,21.8,21
All others outside Canada,19.4,18.4,17.9
